Inst Code,Institute Name,Place,Dist Code,"Co
Educati on",College Type,Year of Estab,Branch Code,Branch Name,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,Tuition Fee,"TS
Affiliated To",
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,85763,108173,138651,138651,139999,139999,105717,108173,101077,108173,85763,119563,152737,152737,143804,152466,85763,130997,65000,JNTUH,
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,135003,135003,135003,135003,140399,143763,135003,135003,135003,135003,136711,136711,156241,156761,135003,135003,135003,144409,65000,JNTUH,
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,MEC,MECHANICAL ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,65000,JNTUH,
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,MIN,MINING ENGINEERING,111932,111932,111932,111932,111932,111932,111932,111932,111932,111932,111932,111932,156261,156261,128935,149974,111932,111932,65000,JNTUH,
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CIV,CIVIL ENGINEERING,100565,100565,100565,100565,100565,100565,100565,100565,100565,100565,100565,100565,148358,148358,119361,119361,100565,100565,90000,JNTUH,
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,43794,43794,90732,103497,68114,74849,43794,43794,63600,76528,77443,77443,131422,132923,140102,147339,68224,73940,90000,JNTUH,
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",53765,59501,143545,143545,129982,129982,76327,76327,80863,100493,133284,133284,155745,155745,154126,154126,81320,81320,90000,JNTUH,
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,97248,134527,143183,143383,142278,145166,97248,134527,146006,146006,131093,134527,156760,156760,152846,152846,111265,143498,90000,JNTUH,
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,90000,JNTUH,
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,INF,INFORMATION TECHNOLOGY,43715,43715,143490,143490,145543,145543,74197,74197,112641,112641,137360,146005,156360,156360,126408,148379,111483,136813,90000,JNTUH,
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,90000,JNTUH,
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CIV,CIVIL ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,67000,JNTUH,
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CSE,COMPUTER SCIENCE AND ENGINEERING,72428,80673,126225,126225,95298,95298,72428,80673,79307,91071,144846,144846,87731,87731,148261,151625,79328,80673,67000,JNTUH,
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",123479,123479,133134,133134,123479,137155,123479,123479,123479,123479,137773,137773,138793,138793,146442,146442,123479,123479,67000,JNTUH,
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,109390,139699,142783,142783,141982,141982,109390,139699,145108,145108,145341,145341,132477,139699,153198,153198,109390,139699,67000,JNTUH,
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CIV,CIVIL ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,60000,JNTUH,
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),52794,52794,52794,52794,142225,142225,52794,52794,134497,134497,52794,52794,52794,52794,104435,104435,52794,112990,60000,JNTUH,
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CSE,COMPUTER SCIENCE AND ENGINEERING,55882,63093,123127,145142,91103,91977,73394,73394,71937,95554,146039,146039,148279,148279,149519,149519,77037,77037,60000,JNTUH,
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",135836,135836,135836,135836,135836,144315,135836,135836,136137,144824,135836,142612,137821,142549,142224,143671,135836,135836,60000,JNTUH,
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,140957,140957,140957,140957,140957,140957,140957,140957,140957,140957,140957,140957,152360,152360,140957,140957,140957,140957,60000,JNTUH,
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,2003,AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,64146,79748,141159,141159,89980,92956,64146,79748,85572,95564,73084,106309,150620,152722,150755,154842,71209,87931,45000,JNTUH,
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,2003,CSE,COMPUTER SCIENCE AND ENGINEERING,51948,53200,97454,115133,69551,70270,115242,115242,67484,67484,83267,139990,118122,123716,116790,153435,65491,66170,45000,JNTUH,
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,2003,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,51025,56960,103458,126088,87753,107364,51025,56960,64703,77645,133678,133678,147860,149230,154771,154771,80180,80180,45000,JNTUH,
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,2003,MEC,MECHANICAL ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,45000,JNTUH,
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),90724,125116,118727,144771,138893,143233,90724,125116,90724,125116,90724,125116,90724,125116,99852,125116,136060,136060,70000,JNTUH,
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),101723,101723,137748,137748,122735,127147,101723,101723,101723,127559,122080,138730,115104,136444,121368,136843,113024,124387,70000,JNTUH,
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSE,COMPUTER SCIENCE AND ENGINEERING,67648,67648,142118,142118,94043,99112,67648,90644,83407,90193,135011,135011,149256,152978,156728,156728,85896,96217,70000,JNTUH,
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",115877,115877,122472,127567,115877,125365,123500,123500,123612,123612,117698,124347,151403,151403,125405,153302,128013,136007,70000,JNTUH,
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,129709,129709,146603,146603,139619,144938,129709,129709,144625,144625,145401,145401,152732,152732,129709,129709,135501,135501,70000,JNTUH,
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,MEC,MECHANICAL ENGINEERING,92091,92091,92091,92091,92091,92091,92091,92091,92091,92091,92091,92091,92091,92091,92091,92091,92091,92091,70000,JNTUH,
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,98401,98401,116505,116505,131294,142987,98401,98401,119992,137187,146290,146290,152294,156060,154657,154657,103932,128653,92000,JNTUH,
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,CIV,CIVIL ENGINEERING,87468,118665,87468,118665,124201,124201,87468,118665,135103,135103,87468,118665,87468,118665,150641,150641,87468,118665,92000,JNTUH,
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),80879,104792,144548,144548,97785,113454,92098,104792,96185,109616,130445,137865,145964,154262,143617,155509,83909,109303,92000,JNTUH,
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),54874,79197,121087,121087,97528,97528,54874,101606,99436,106743,123049,123049,148067,149195,143270,152953,82478,96473,92000,JNTUH,
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,CSE,COMPUTER SCIENCE AND ENGINEERING,59360,61914,81831,89809,79676,79676,74590,74590,74678,75048,61706,95943,105874,107495,105052,105052,61650,76420,92000,JNTUH,
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",77969,98031,135298,140745,90616,98445,77969,98031,91975,99601,117847,125947,146830,147198,137943,154274,80114,118377,92000,JNTUH,
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,72441,72441,135563,146387,131606,140477,104851,104851,109186,112214,137553,139221,154498,155142,152528,152528,122038,130275,92000,JNTUH,
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,MEC,MECHANICAL ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,92000,JNTUH,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CIV,CIVIL ENGINEERING,66685,93006,66685,93006,85379,93006,66685,93006,145297,145297,66685,93006,154276,154276,152581,152581,66685,108044,89000,JNTUH,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),43329,98380,118539,118539,92554,98380,43329,98380,112208,130529,43329,133327,149126,153587,152781,152781,113783,120889,89000,JNTUH,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),55114,83507,146790,146790,97804,104986,55114,83507,84283,91749,146436,146436,156332,156332,154452,154452,78781,103978,89000,JNTUH,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,53054,69314,93032,107907,76715,82489,136213,136213,77466,78337,121090,131140,141020,147628,149148,152438,65601,69314,89000,JNTUH,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",84396,119682,114301,119682,114837,122585,84396,119682,114062,119682,130933,137962,151379,155784,154890,154890,117408,119682,89000,JNTUH,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,121885,141060,140289,146052,140485,145544,121885,141060,123337,141060,139372,143907,148969,152793,155690,156452,121885,144446,89000,JNTUH,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,92595,92595,92595,92595,92595,92595,92595,92595,92595,92595,92595,92595,156558,156558,155759,155759,92595,131428,89000,JNTUH,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,INF,INFORMATION TECHNOLOGY,75748,119586,115871,123535,119125,119586,104933,119586,116912,142284,123063,128571,156577,156577,116938,119586,121318,121318,89000,JNTUH,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,89000,JNTUH,
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,CIV,CIVIL ENGINEERING,38238,38238,64622,64622,38238,38238,38238,38238,38238,38238,38238,38238,66452,103207,38238,38238,38238,38238,68000,JNTUH,
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),69013,82637,137000,145197,142581,142581,69013,119323,136920,136920,132894,140851,152129,153416,156423,156423,124382,136549,68000,JNTUH,
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,68527,68527,141738,144699,92724,94472,68527,68527,83819,88588,124157,126668,149626,149675,155790,155790,123300,130467,68000,JNTUH,
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",52852,76601,141236,141236,138427,138427,52852,124861,105302,118982,143882,143882,156605,156605,135710,143500,146479,146479,68000,JNTUH,
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,68000,JNTUH,
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,CSW,COMPUTER ENGINEERING(SOFTWARE ENGINEERING),156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,68000,JNTUH,
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,146703,146703,146703,146703,146703,146703,146703,146703,146703,146703,146703,146703,153427,154174,156805,156805,146703,146703,68000,JNTUH,
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,94005,94005,128341,128341,130763,130763,94005,94005,135979,135979,128535,128535,151989,151989,107447,107447,94005,94005,68000,JNTUH,
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,68000,JNTUH,
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,CIV,CIVIL ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,63000,JNTUH,
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,CSE,COMPUTER SCIENCE AND ENGINEERING,148056,148056,148056,148708,148056,149875,148056,151234,153508,153508,154604,154604,150463,150463,148056,148056,148056,148056,63000,JNTUH,
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",100298,100298,144741,144741,145321,145321,100298,100298,114546,114546,100298,100298,155575,155575,100298,156806,100298,100298,63000,JNTUH,
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,63000,JNTUH,
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,63000,JNTUH,
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,MEC,MECHANICAL ENGINEERING,150026,150026,150026,150026,150026,150026,150026,150026,150026,150026,150026,150026,150026,150026,150026,150026,150026,150026,63000,JNTUH,
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,CIV,CIVIL ENGINEERING,64665,104479,147615,147615,150460,150460,64665,104479,151194,151194,151704,151704,151993,151993,147315,147315,64665,104479,95000,JNTUH,
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),88144,88144,124907,124907,139717,139717,88144,147323,148331,148331,88144,149435,147847,147847,138806,138806,88144,104784,95000,JNTUH,
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,CSE,COMPUTER SCIENCE AND ENGINEERING,71834,71834,144501,144501,114003,114003,71834,71834,117189,128497,130908,130908,96461,96461,96701,96701,71834,126110,95000,JNTUH,
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",100979,100979,150131,150131,150384,150384,100979,100979,150591,150591,150924,150924,151138,151138,142351,142351,100979,100979,95000,JNTUH,
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,103899,103899,130337,131906,142005,142005,103899,103899,132212,132212,103899,103899,129551,129551,149065,149065,103899,103899,95000,JNTUH,
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,106782,106782,141879,141879,147384,147384,147456,147456,148025,148025,148185,148185,141842,141842,129872,129872,106782,106782,95000,JNTUH,
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,MEC,MECHANICAL ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,95000,JNTUH,
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,MIN,MINING ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,95000,JNTUH,
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,GIRLS,PVT,1997,CSE,COMPUTER SCIENCE AND ENGINEERING,NA,16272,NA,40441,NA,23273,NA,46759,NA,20434,NA,34684,NA,53167,NA,59204,NA,16272,75000,JNTUH,
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,GIRLS,PVT,1997,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",NA,18655,NA,49109,NA,26090,NA,18655,NA,23269,NA,38071,NA,86790,NA,84942,NA,18655,75000,JNTUH,
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,GIRLS,PVT,1997,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,NA,36742,NA,87750,NA,45736,NA,49982,NA,49410,NA,52701,NA,152891,NA,149707,NA,36742,75000,JNTUH,
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,GIRLS,PVT,1997,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,NA,52802,NA,120081,NA,123001,NA,52802,NA,117860,NA,123900,NA,154383,NA,154856,NA,71846,75000,JNTUH,
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,GIRLS,PVT,1997,INF,INFORMATION TECHNOLOGY,NA,21020,NA,70016,NA,36395,NA,123993,NA,39517,NA,74927,NA,147544,NA,154336,NA,23372,75000,JNTUH,
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,COED,PVT,2009,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,71680,71680,71680,71680,127603,127603,111403,139531,126730,126730,71680,140259,145959,145959,71680,123402,96657,96657,72000,JNTUH,
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,COED,PVT,2009,CIV,CIVIL ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,72000,JNTUH,
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,COED,PVT,2009,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),75447,144216,145014,145014,138050,144216,75447,144216,132252,144216,144796,144796,146737,154918,139885,144216,75447,144216,72000,JNTUH,
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,COED,PVT,2009,CSE,COMPUTER SCIENCE AND ENGINEERING,93216,93216,128595,128595,106132,114568,94340,106610,98300,104717,144080,144080,152513,152513,154373,154373,100476,133457,72000,JNTUH,
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,COED,PVT,2009,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",113619,127729,143337,143337,141295,141490,113619,127729,146422,146422,145291,145291,156286,156608,140906,146153,113619,127729,72000,JNTUH,
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,COED,PVT,2009,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,124189,124189,127126,137463,135044,135044,124189,124189,124189,140315,140939,140939,155609,156073,155224,155224,124189,124189,72000,JNTUH,
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,COED,PVT,2009,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,62241,62241,145393,145393,137881,137881,62241,62241,62241,62241,62241,62241,152332,152332,62241,62241,62241,62241,72000,JNTUH,
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2008,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,94948,94948,139644,139644,119610,119610,128965,128965,130492,130492,134435,134435,140849,154016,145765,145765,94948,108275,68000,JNTUH,
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2008,CIV,CIVIL ENGINEERING,86027,86027,86027,86027,86027,86027,86027,86027,86027,86027,86027,86027,86027,86027,86027,115101,86027,86027,68000,JNTUH,
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2008,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),93673,93673,141172,141172,112448,144969,93673,143538,132697,133033,130026,144542,145396,145396,155467,156236,93673,136002,68000,JNTUH,
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2008,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),142450,142450,145812,145812,145602,145602,142450,142450,142450,142450,145069,145069,152685,156145,154443,154443,142450,142450,68000,JNTUH,
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2008,CSE,COMPUTER SCIENCE AND ENGINEERING,78176,110608,137668,139030,94545,110608,101334,110608,105934,110608,142880,142880,153024,153030,149783,152789,93217,112530,68000,JNTUH,
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2008,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",129703,129703,138906,142098,143666,143666,129703,129703,146599,146599,133374,133374,137412,155494,152273,152273,129703,138109,68000,JNTUH,
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2008,CSW,COMPUTER ENGINEERING(SOFTWARE ENGINEERING),96221,96221,96221,100524,96221,96221,96221,96221,96221,96221,96221,96221,98402,98402,96221,96221,96221,96221,68000,JNTUH,
